 ,Flow,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,,,,,,,,,,
1-Jan-16,364,7.8,      T/X,42,30,798,128,9,5.9,0.82,1.3,0.6,,,,,,,,,,
2-Jan-16,356,7.8,      T/X,45,37,802,118,11,7.1,0.69,1.3,0.5,,,,,,,,,,
3-Jan-16,357,7.7,      T/X,64,52,710,96,11,7.3,0.52,1.4,0.6,,,,,,,,,,
4-Jan-16,350,7.6,      T/X,59,48,736,118,13,7.9,0.49,1.9,0.7,,,,,,,,,,
5-Jan-16,353,7.4,      T/X,58,47,758,114,13,8.0,0.33,2.0,0.6,,,,,,,,,,
6-Jan-16,352,7.4,      T/X,58,42,740,128,13,8.1,0.24,2.8,1.4,,,,,,,,,,
7-Jan-16,343,7.5,      T/X,79,60,748,134,14,8.4,0.20,2.7,1.4,,,,,,,,,,
8-Jan-16,362,7.6,      T/X,68,52,764,138,14,8.7,     <0.15,3.5,2.2,,,,,,,,,,
9-Jan-16,406,7.6,      T/X,82,60,760,130,10,6.2,0.67,1.7,0.6,,,,,,,,,,
10-Jan-16,412,7.5,      T/X,41,33,844,114,8,4.5,1.11,1.2,0.4,,,,,,,,,,
11-Jan-16,367,7.7,      T/X,42,34,810,150,10,6.0,0.91,1.4,0.6,,,,,,,,,,
12-Jan-16,349,7.7,53,52,37,932,146,11,6.7,0.63,2.0,0.9,,,,,,,,,,
13-Jan-16,340,7.5,      T/X,100,79,898,162,15,8.0,0.58,3.3,1.7,,,,,,,,,,
14-Jan-16,351,7.7,99,88,73,876,178,14,8.2,     <0.15,2.7,1.1,,,,,,,,,,
15-Jan-16,377,7.5,97,112,80,1069,180,14,7.6,0.36,2.4,0.8,,,,,,,,,,
16-Jan-16,366,7.8,82,55,42,874,154,12,7.1,0.74,2.0,0.8,,,,,,,,,,
17-Jan-16,353,7.7,54,62,52,822,160,11,7.3,0.88,1.7,0.9,,,,,,,,,,
18-Jan-16,339,7.5,      T/X,64,56,776,144,13,8.4,0.30,2.1,0.9,,,,,,,,,,
19-Jan-16,328,7.4,71,36,32,784,170,13,8.3,0.69,2.1,1.1,,,,,,,,,,
20-Jan-16,323,7.4,      T/X,84,76,810,178,14,8.6,0.23,2.9,1.6,,,,,,,,,,
21-Jan-16,323,7.4,64,64,48,762,148,13,7.9,0.27,2.2,1.1,,,,,,,,,,
22-Jan-16,329,7.5,135,176,138,784,214,18,7.4,0.63,4.5,1.7,,,,,,,,,,
23-Jan-16,328,7.5,53,31,25,664,124,12,7.8,0.35,1.9,1.0,,,,,,,,,,
24-Jan-16,326,7.6,62,74,62,706,152,15,8.5,0.28,2.1,0.8,,,,,,,,,,
25-Jan-16,328,7.5,69,54,50,694,164,14,9.1,     <0.15,2.3,1.1,,,,,,,,,,
