 ,pH,BOD5,SS,VSS,TS,VTS,TKN,NH3-N,NO2-N + NO3-N,P-TOT,P-SOL,Flow,,,,,,,,,,
1-Jan-16,7.8,      T/X,42,30,798,128,9,5.9,0.82,1.3,0.6,364,,,,,,,,,,
2-Jan-16,7.8,      T/X,45,37,802,118,11,7.1,0.69,1.3,0.5,356,,,,,,,,,,
3-Jan-16,7.7,      T/X,64,52,710,96,11,7.3,0.52,1.4,0.6,357,,,,,,,,,,
4-Jan-16,7.6,      T/X,59,48,736,118,13,7.9,0.49,1.9,0.7,350,,,,,,,,,,
5-Jan-16,7.4,      T/X,58,47,758,114,13,8.0,0.33,2.0,0.6,353,,,,,,,,,,
6-Jan-16,7.4,      T/X,58,42,740,128,13,8.1,0.24,2.8,1.4,352,,,,,,,,,,
7-Jan-16,7.5,      T/X,79,60,748,134,14,8.4,0.20,2.7,1.4,343,,,,,,,,,,
8-Jan-16,7.6,      T/X,68,52,764,138,14,8.7,     <0.15,3.5,2.2,362,,,,,,,,,,
9-Jan-16,7.6,      T/X,82,60,760,130,10,6.2,0.67,1.7,0.6,406,,,,,,,,,,
10-Jan-16,7.5,      T/X,41,33,844,114,8,4.5,1.11,1.2,0.4,412,,,,,,,,,,
11-Jan-16,7.7,      T/X,42,34,810,150,10,6.0,0.91,1.4,0.6,367,,,,,,,,,,
12-Jan-16,7.7,53,52,37,932,146,11,6.7,0.63,2.0,0.9,349,,,,,,,,,,
13-Jan-16,7.5,      T/X,100,79,898,162,15,8.0,0.58,3.3,1.7,340,,,,,,,,,,
14-Jan-16,7.7,99,88,73,876,178,14,8.2,     <0.15,2.7,1.1,351,,,,,,,,,,
15-Jan-16,7.5,97,112,80,1069,180,14,7.6,0.36,2.4,0.8,377,,,,,,,,,,
16-Jan-16,7.8,82,55,42,874,154,12,7.1,0.74,2.0,0.8,366,,,,,,,,,,
17-Jan-16,7.7,54,62,52,822,160,11,7.3,0.88,1.7,0.9,353,,,,,,,,,,
18-Jan-16,7.5,      T/X,64,56,776,144,13,8.4,0.30,2.1,0.9,339,,,,,,,,,,
19-Jan-16,7.4,71,36,32,784,170,13,8.3,0.69,2.1,1.1,328,,,,,,,,,,
20-Jan-16,7.4,      T/X,84,76,810,178,14,8.6,0.23,2.9,1.6,323,,,,,,,,,,
