Date,FLOW,pH,BOD5,TS,SS,TKN,NH3-N,NO2+NO3,P-TOT,P-SOL,,,,,,
1-Jan-16,29.3,7.5,116,858,116,19,10.1,1.47,3.3,      N/S,,,,,,
2-Jan-16,28.8,7.5,126,876,134,23,11.9,2.02,3.8,      N/S,,,,,,
3-Jan-16,27.3,7.4,135,842,140,25,13.4,2.32,4.2,      N/S,,,,,,
4-Jan-16,25.9,7.4,150,914,140,25,13.6,2.77,4.4,      N/S,,,,,,
5-Jan-16,25.0,7.3,112,910,114,23,13.6,3.42,4.6,2.2,,,,,,
6-Jan-16,23.7,7.4,117,958,194,30,15.5,2.29,6.2,      N/S,,,,,,
7-Jan-16,25.7,7.4,98,906,156,25,13.5,3.16,5.3,      N/S,,,,,,
8-Jan-16,31.2,7.4,155,892,188,23,11.8,1.70,4.6,      N/S,,,,,,
9-Jan-16,41.6,7.4,105,808,132,16,7.9,2.57,2.9,      N/S,,,,,,
10-Jan-16,37.8,7.4,155,948,150,20,9.5,2.23,3.6,      N/S,,,,,,
11-Jan-16,30.5,7.6,129,898,116,20,11.1,3.00,3.5,      N/S,,,,,,
12-Jan-16,27.5,7.5,131,970,114,21,11.8,3.39,3.5,1.9,,,,,,
13-Jan-16,25.3,7.5,143,944,124,24,13.0,2.83,4.8,      N/S,,,,,,
14-Jan-16,25.5,7.4,143,952,120,23,13.0,3.27,4.6,      N/S,,,,,,
15-Jan-16,25.2,7.4,137,994,120,23,12.5,1.44,4.4,      N/S,,,,,,
16-Jan-16,27.1,7.4,126,882,98,21,12.2,1.25,4.2,      N/S,,,,,,
17-Jan-16,24.8,7.4,133,858,118,25,13.8,2.25,4.7,      N/S,,,,,,
18-Jan-16,24.7,7.4,135,844,122,23,12.8,3.02,4.6,      N/S,,,,,,
19-Jan-16,23.2,7.5,168,932,168,26,11.7,4.31,5.7,2.6,,,,,,
20-Jan-16,23.1,7.4,127,896,122,25,14.5,3.63,5.3,      N/S,,,,,,
21-Jan-16,22.4,7.4,181,956,154,28,16.5,3.51,6.1,      N/S,,,,,,
22-Jan-16,21.9,7.4,164,916,164,30,16.5,1.00,5.7,      N/S,,,,,,
23-Jan-16,24.0,7.4,147,886,134,26,13.4,2.97,5.7,      N/S,,,,,,
24-Jan-16,22.9,7.3,167,898,162,28,15.5,3.41,5.7,      N/S,,,,,,
25-Jan-16,21.8,7.4,153,898,134,28,16.7,2.60,5.6,      N/S,,,,,,
26-Jan-16,21.7,7.5,145,922,134,28,15.7,2.46,5.4,3.1,,,,,,
27-Jan-16,23.2,7.3,      T/X,994,246,33,16.0,3.17,7.0,      N/S,,,,,,
28-Jan-16,21.5,7.3,      T/X,958,194,28,14.6,4.35,6.1,      N/S,,,,,,
29-Jan-16,19.5,7.4,129,854,124,22,13.8,2.61,4.5,      N/S,,,,,,
30-Jan-16,21.7,7.3,166,884,170,31,16.4,0.97,5.9,      N/S,,,,,,
31-Jan-16,24.4,7.3,216,1013,226,32,16.3,1.72,6.0,      N/S,,,,,,
1-Feb-16,25.2,7.5,1700,5283,4420,172,26.1,0.20,33.4,      N/S,,,,,,
2-Feb-16,35.7,7.4,176,992,250,27,11.6,1.89,5.1,2.1,,,,,,
3-Feb-16,40.6,7.4,106,906,114,16,9.1,2.16,3.3,      N/S,,,,,,
4-Feb-16,30.5,7.7,124,956,140,20,10.6,2.49,4.5,      N/S,,,,,,
5-Feb-16,27.2,7.7,96,878,100,18,11.2,1.68,3.5,      N/S,,,,,,
6-Feb-16,26.3,7.4,115,894,114,20,12.6,0.88,3.6,      N/S,,,,,,
7-Feb-16,24.9,7.5,122,876,100,23,13.8,2.30,4.1,      N/S,,,,,,
8-Feb-16,24.4,7.4,114,896,96,25,14.5,1.81,4.6,      N/S,,,,,,
9-Feb-16,23.7,7.3,144,932,126,27,15.4,2.32,4.9,2.6,,,,,,
10-Feb-16,23.0,7.4,143,896,128,26,15.4,2.57,5.2,      N/S,,,,,,
11-Feb-16,22.0,7.4,102,1033,244,33,15.8,2.12,7.2,      N/S,,,,,,
12-Feb-16,22.7,7.5,      T/X,944,214,31,15.4,1.87,6.5,      N/S,,,,,,
13-Feb-16,21.2,7.4,164,932,194,35,15.9,1.67,6.9,      N/S,,,,,,
14-Feb-16,23.4,7.3,230,960,88,37,16.6,2.22,7.4,      N/S,,,,,,
15-Feb-16,20.9,7.3,227,986,254,37,17.3,1.60,7.5,      N/S,,,,,,
16-Feb-16,21.1,7.5,171,912,142,31,16.3,2.12,5.5,2.7,,,,,,
17-Feb-16,20.7,7.4,193,1018,212,32,17.6,1.90,6.7,      N/S,,,,,,
18-Feb-16,23.1,7.4,236,1120,310,36,16.5,2.02,8.5,      N/S,,,,,,
19-Feb-16,22.6,7.3,201,1028,206,30,16.2,0.52,6.2,      N/S,,,,,,
20-Feb-16,25.1,7.4,167,1135,216,29,15.5,    <0.15,5.9,      N/S,,,,,,
21-Feb-16,23.4,7.4,160,1088,178,30,16.5,1.18,5.9,      N/S,,,,,,
22-Feb-16,23.3,7.5,145,1039,154,30,17.6,1.38,5.7,      N/S,,,,,,
23-Feb-16,23.0,7.4,      T/X,1018,172,32,16.5,2.51,5.8,3.3,,,,,,
24-Feb-16,21.7,7.5,169,1005,156,30,17.7,1.77,5.9,      N/S,,,,,,
25-Feb-16,21.9,7.5,150,1033,142,29,17.2,2.15,5.6,      N/S,,,,,,
26-Feb-16,21.6,7.4,147,936,132,28,16.7,0.41,5.3,      N/S,,,,,,
27-Feb-16,23.2,7.5,      T/X,996,182,30,16.5,0.47,6.0,      N/S,,,,,,
28-Feb-16,20.5,7.3,197,1019,194,35,19.1,1.28,6.6,      N/S,,,,,,
29-Feb-16,20.5,7.4,165,964,140,31,18.1,2.21,5.7,      N/S,,,,,,
1-Mar-16,20.7,7.5,212,1321,282,31,17.3,2.74,5.7,3.2,,,,,,
2-Mar-16,21.5,7.4,146,1052,144,28,16.6,2.93,5.8,      N/S,,,,,,
3-Mar-16,21.0,7.4,223,1150,210,35,18.8,2.14,7.0,      N/S,,,,,,
4-Mar-16,20.8,7.3,166,1104,200,32,17.5,0.66,5.9,      N/S,,,,,,
5-Mar-16,22.3,7.3,177,1109,190,31,17.0,0.46,5.8,      N/S,,,,,,
6-Mar-16,22.3,7.4,192,1158,210,33,17.1,1.98,6.3,      N/S,,,,,,
7-Mar-16,22.5,7.5,      T/X,1158,236,33,17.4,1.72,6.7,      N/S,,,,,,
8-Mar-16,21.5,7.4,157,1096,198,31,15.4,2.13,6.2,3.3,,,,,,
9-Mar-16,24.0,7.3,166,1132,200,28,15.4,1.85,6.5,      N/S,,,,,,
10-Mar-16,22.9,7.4,161,1148,158,28,15.0,1.66,6.3,      N/S,,,,,,
11-Mar-16,21.4,7.4,135,1041,146,25,13.9,1.55,5.6,      N/S,,,,,,
12-Mar-16,21.5,7.5,212,1088,206,33,17.1,    <0.15,6.9,      N/S,,,,,,
13-Mar-16,21.6,7.3,243,1258,308,35,14.7,1.81,7.3,      N/S,,,,,,
14-Mar-16,35.5,7.6,175,1146,232,24,10.4,1.78,5.2,      N/S,,,,,,
15-Mar-16,30.7,7.5,135,1026,140,21,11.2,1.59,4.3,2.2,,,,,,
16-Mar-16,32.8,7.5,131,1010,146,19,10.3,1.27,4.4,      N/S,,,,,,
17-Mar-16,28.4,7.5,117,1011,132,20,11.4,1.41,4.4,      N/S,,,,,,
18-Mar-16,26.5,7.4,120,980,124,17,12.5,1.46,4.0,      N/S,,,,,,
