DATE,FLOW,pH,BOD5,SS,TS,TKN,NH3-N,P-TOT
1-Jan-15,20.3,7.2,138,170,774,29,18.3,5.7
2-Jan-15,20.3,7.2,96,54,702,27,19,4.3
3-Jan-15,25.2,7.2,141,124,782,30,17,5.4
4-Jan-15,26.3,7.5,128,222,918,26,13.1,5.3
5-Jan-15,22.4,7.3,115,148,868,28,16.4,4.7
6-Jan-15,22.2,7.3,125,148,880,28,15.6,4.9
7-Jan-15,21.2,7.3,130,150,914,31,18.6,5.2
8-Jan-15,19.4,7.1,110,110,820,27,17.9,4.4
9-Jan-15,22.3,7.2,140,132,820,27,16.7,4.3
10-Jan-15,22.5,7.3,244,280,982,40,22.4,6.7
11-Jan-15,22,7.2,125,170,870,31,18.4,5.6
12-Jan-15,25,7.3,138,190,968,33,19.5,5.7
13-Jan-15,20.5,7.3,165,172,928,32,18.7,5.7
14-Jan-15,20.1,7.3,158,152,882,31,18.5,6
15-Jan-15,19.9,7.3,127,160,892,31,19.7,6.2
16-Jan-15,19.4,7.3,120,244,998,36,20.7,7.1
17-Jan-15,21.5,7.3,212,192,974,33,19,6.5
18-Jan-15,23.1,7.3,178,176,1092,30,17.5,5.6
19-Jan-15,23.2,7.3,118,182,1113,29,16.7,5.5
20-Jan-15,22.1,7.3,121,210,1055,31,17,5.6
21-Jan-15,22.5,7.3,119,188,1022,30,17.1,5.7
22-Jan-15,22.4,7.3,110,146,950,28,16.7,5.3
23-Jan-15,21.7,7.2,152,176,942,29,16.7,5.3
24-Jan-15,21.9,7.3,149,126,902,29,17.3,4.9
25-Jan-15,22.1,7.3,117,112,954,31,18.7,5
26-Jan-15,21.2,7.3,120,122,950,30,18,5
27-Jan-15,21.5,7.2,110,120,966,30,17.4,4.8
28-Jan-15,22.4,7.2,113,130,970,29,17.9,5.1
29-Jan-15,22.5,7.4,108,144,970,28,16.6,6.8
30-Jan-15,21.5,7.4,159,148,904,32,19,5
31-Jan-15,21,7.3,99,50,822,29,18.9,4.2
1-Feb-15,20.5,7.3,119,140,914,33,19.3,5.2
2-Feb-15,20.8,7.3,111,134,906,30,18.4,5
3-Feb-15,19.4,7.5,      S/X,      S/X,      S/X,      S/X,      S/X,      S/X
4-Feb-15,22.9,7.1,134,186,1057,32,17.9,5.3
5-Feb-15,21.6,7.3,115,152,946,29,18.3,5.8
6-Feb-15,21.2,7.2,169,144,930,32,18.3,5.8
7-Feb-15,22.6,7.2,179,130,906,31,18.5,5.2
8-Feb-15,24.5,7.3,134,264,1184,33,16.7,5.9
9-Feb-15,23.8,7.2,112,162,1071,29,16,5
10-Feb-15,22.4,7.2,114,140,1011,30,16.5,4.2
11-Feb-15,21.8,7.2,113,126,978,29,17,4.7
12-Feb-15,21.9,7.3,168,158,1007,28,16.9,5.8
13-Feb-15,21.8,7.3,154,148,964,30,16.9,5
14-Feb-15,21.4,7.3,160,124,928,28,16.5,5
15-Feb-15,21.3,7.2,184,142,900,30,17.9,5.3
16-Feb-15,21.9,7.1,123,160,944,33,17.5,5.7
17-Feb-15,21.5,7.2,128,168,936,32,16.6,5.6
18-Feb-15,22.2,7.2,145,164,896,30,16.6,5.1
19-Feb-15,21.1,7.4,120,150,870,29,17.3,5.7
20-Feb-15,20.4,7.4,159,128,830,31,17.7,4.9
21-Feb-15,20.7,7.2,163,140,864,31,17.4,4.8
22-Feb-15,20.5,7.2,177,156,880,34,19.6,5.2
23-Feb-15,21.1,7.1,178,325,1007,37,18.5,7.3
24-Feb-15,19.7,7.3,147,198,908,34,18.7,6.3
25-Feb-15,20.5,7.4,172,172,868,32,18.3,6.5
26-Feb-15,19.2,7.3,147,116,816,29,18.5,6
27-Feb-15,20,7.3,155,138,894,31,18.4,5.1
28-Feb-15,21.2,7.3,204,204,902,32,18,5.8
1-Mar-15,20.5,7.2,130,166,902,34,19.6,5.8
2-Mar-15,21.1,7.2,141,176,900,33,18.6,5.7
3-Mar-15,20.5,7.4,146,300,1014,38,14.6,7.9
4-Mar-15,19.9,7.4,164,144,1153,31,18.4,5.5
5-Mar-15,20.2,7.3,189,190,1066,32,17.8,6.5
6-Mar-15,19.3,7.4,179,156,966,32,18.9,5.7
7-Mar-15,21.7,7.4,305,262,1049,36,18,7.1
8-Mar-15,22.9,7.4,200,180,1080,31,17.5,5.6
9-Mar-15,27.3,7.3,225,283,1292,32,15.3,6.1
10-Mar-15,31.6,7.3,      T/X,282,1381,28,11.4,5.5
11-Mar-15,37.6,7.4,147,170,1334,20,9.7,4
12-Mar-15,35.4,7.5,128,142,1243,19,9.8,3.7
13-Mar-15,34.1,7.5,118,126,1198,20,9.7,3.4
14-Mar-15,34.4,7.4,130,122,1164,19,9.5,3.2
15-Mar-15,30.4,7.4,129,142,1193,23,11.9,3.8
16-Mar-15,28.8,7.5,138,150,1162,25,12.2,4.5
17-Mar-15,26.4,7.5,147,158,1140,26,12.7,4.8
18-Mar-15,24.3,7.5,109,120,1073,25,15,4.7
19-Mar-15,23.4,7.4,165,182,1112,27,15.2,5.3
20-Mar-15,27.1,7.4,134,144,1032,27,15.6,4.8
21-Mar-15,23,7.4,174,158,1046,28,15.5,5
22-Mar-15,22.3,7.4,159,160,1040,29,16.4,5.2
23-Mar-15,21.7,7.4,160,160,1041,27,15.3,4.7
24-Mar-15,24.5,7.5,179,204,1235,28,15.2,4.4
25-Mar-15,34.5,7.4,161,208,1232,20,10.4,3.9
26-Mar-15,32.3,7.5,126,128,1182,17,9.8,3
27-Mar-15,29,7.4,60,50,1093,17,11,2.4
28-Mar-15,28.4,7.4,148,154,1150,23,11.4,3.8
29-Mar-15,25.3,7.5,126,134,1120,25,14,4.1
30-Mar-15,24.4,7.4,206,218,1123,31,13.8,5.4
31-Mar-15,24.6,7.4,196,218,1079,31,14,5.5
1-Apr-15,22.4,7.4,121,130,1012,26,15.5,4.8
2-Apr-15,25.5,7.5,210,224,1121,29,14.1,6.4
3-Apr-15,24.6,7.5,340,194,1100,26,14,5.7
4-Apr-15,23.6,7.3,230,264,1101,33,15.4,5.4
5-Apr-15,23.9,7.4,238,264,1100,33,15,6.5
6-Apr-15,25.2,7.3,239,304,1117,37,16.2,7.4
7-Apr-15,25.6,7.5,221,268,1104,35,17,6.8
8-Apr-15,25.7,7.4,210,242,1078,29,17,6
9-Apr-15,42.6,7.3,325,483,1250,35,10.1,8.1
10-Apr-15,49.4,7.3,121,150,964,15,6,3
11-Apr-15,34.7,7.5,150,152,1027,20,8.7,4.2
12-Apr-15,30.6,7.6,133,132,1005,21,10.7,4
13-Apr-15,31.3,7.5,117,116,1003,21,10.5,3.7
14-Apr-15,26.3,7.5,118,118,1019,23,12.2,4
15-Apr-15,25.8,7.5,66,108,1014,21,12.6,4.2
16-Apr-15,26.4,7.3,124,138,1052,22,12.4,4.8
17-Apr-15,24.9,7.4,120,138,960,23,13.1,4.8
18-Apr-15,23.3,7.3,157,154,952,27,14.7,5.4
19-Apr-15,25.2,7.3,169,174,964,27,14.7,5.2
20-Apr-15,29.3,7.5,165,186,994,26,12.6,4.9
21-Apr-15,25.6,7.5,163,176,990,26,12.3,5.2
22-Apr-15,25.9,7.4,159,172,1000,25,13.2,5.5
23-Apr-15,23.6,7.5,146,134,974,26,15,5.4
24-Apr-15,22.5,7.4,162,156,940,27,14.7,5.6
25-Apr-15,23.4,7.2,      T/X,202,980,31,16.1,5.9
26-Apr-15,25,7.3,145,162,932,26,13.7,5.2
27-Apr-15,21.9,7.4,156,154,958,30,15.9,5.5
28-Apr-15,21.1,7.3,147,144,932,28,16,5.6
29-Apr-15,22.7,7.3,153,162,966,25,15.9,5.7
30-Apr-15,22.6,7.3,205,234,1028,32,16,7
1-May-15,21.7,7.5,166,158,910,29,15.7,6.1
2-May-15,21,7.3,275,346,1076,41,17.7,9
3-May-15,21.5,7.3,194,208,944,34,18.2,6.7
4-May-15,23.7,7.3,192,260,1007,30,14.8,6.2
5-May-15,40,7.3,194,292,996,24,9.6,5.1
6-May-15,29.2,7.5,110,106,968,18,9.8,4
7-May-15,26.8,7.3,      T/X,146,1010,22,12.4,4.7
8-May-15,32.1,7.3,217,380,1126,30,11.6,6.8
9-May-15,51.7,7.4,206,276,956,22,6.5,4.7
10-May-15,36.7,7.4,104,142,926,19,9.6,3.4
11-May-15,29.7,T/X,94,100,922,19,10.8,3.2
12-May-15,29.5,7.5,102,100,912,21,11.1,3.7
13-May-15,25.5,7.4,96,102,956,22,13,4.7
14-May-15,26.5,7.5,127,160,1008,25,13.4,4.8
15-May-15,24.4,7.5,147,152,890,25,13.5,5.1
16-May-15,24.2,7.3,170,178,914,27,14.1,5.1
17-May-15,24,7.3,134,160,880,26,14.1,4.8
18-May-15,23.6,7.4,119,142,908,26,14.3,5.5
19-May-15,22.9,7.1,120,156,940,26,14.6,5.5
20-May-15,21.5,7.4,220,225,1006,33,17.6,7.2
21-May-15,22.9,7.4,149,158,948,26,15.5,6
22-May-15,21.9,7.4,140,148,928,26,14.9,5.6
23-May-15,21.7,7.3,139,158,948,28,15.4,5.9
24-May-15,21.5,7.2,177,190,982,30,16.3,6.1
25-May-15,22.1,7.3,166,158,976,30,16.7,5.8
26-May-15,22.2,7.3,167,200,938,30,15.6,5.8
27-May-15,22,7.4,204,214,988,28,15.1,6.2
28-May-15,22.7,7.3,290,337,1060,34,16.5,7.3
29-May-15,20.4,7.4,168,148,894,29,16.7,5.7
30-May-15,22.8,7.2,194,184,918,31,16.7,6.1
31-May-15,20.8,7.4,159,144,902,31,17.6,5.7
1-Jun-15,21.3,7.4,184,142,918,30,17.1,6.2
2-Jun-15,21,7.4,203,190,974,33,17.4,5.9
3-Jun-15,20.2,7.4,165,142,930,28,17.9,5.9
4-Jun-15,18.6,7.3,163,150,942,31,19,6.5
5-Jun-15,18.6,7.4,150,138,862,31,19.1,6
6-Jun-15,20.6,7.4,139,168,924,30,16.5,6.2
7-Jun-15,22.6,7.3,184,182,916,30,16.4,6.2
8-Jun-15,20.7,7.3,260,296,1040,39,18.5,7.9
9-Jun-15,21.4,7.3,305,408,1120,39,17,8
10-Jun-15,20.6,7.5,204,214,966,30,16.8,6.9
11-Jun-15,20.1,7.5,209,230,974,32,18.2,7
12-Jun-15,23.4,7.3,155,222,886,29,15.6,6.4
13-Jun-15,25.9,7.4,191,182,860,26,13,5.7
14-Jun-15,34.3,7.3,129,230,844,23,10.7,4.8
15-Jun-15,43.1,7.3,151,202,872,21,8.5,4.5
16-Jun-15,49.3,7.6,72,83,812,12,5.6,2.4
17-Jun-15,34.5,7.3,63,104,848,15,8.8,3.5
18-Jun-15,36,7.5,157,178,954,20,8.8,4.9
19-Jun-15,30.1,7.5,198,218,944,25,10.3,6.3
20-Jun-15,28.1,7.5,219,218,964,25,10.8,5.5
21-Jun-15,30,7.4,206,236,940,26,10.9,5.8
22-Jun-15,25.4,7.4,216,232,998,29,12.9,6.1
23-Jun-15,23.3,7.5,179,200,918,26,13.2,5.4
24-Jun-15,25,7.3,229,254,1007,28,13.4,6.7
25-Jun-15,32.8,7.4,214,238,914,27,10.8,6.5
26-Jun-15,27.5,7.5,165,184,898,24,11.4,5.3
27-Jun-15,27.8,7.5,136,158,870,22,11.4,4.7
28-Jun-15,24.6,7.4,142,148,886,25,13.7,5.4
29-Jun-15,30.9,7.4,112,160,822,22,11.3,4.7
30-Jun-15,30.7,7.2,136,150,842,21,10.8,4.5
1-Jul-15,25.9,7.4,143,146,864,23,12.4,5.3
2-Jul-15,23.2,7.4,133,130,910,23,13.1,5.2
3-Jul-15,21.8,7.4,128,134,864,26,14.2,5.2
