DATE,FLOW,pH,BOD5,SS,TS,TKN,NH3-N,P-TOT
1-Jan-15,6.19,7.1,139,168,750,39,24.8,6.7
2-Jan-15,6.29,7.1,230,134,730,35,23.4,5.4
3-Jan-15,9.49,6.9,153,226,814,36,21.4,5.7
4-Jan-15,9.29,6.9,111,126,810,27,16.1,3.9
5-Jan-15,7.39,6.9,150,138,786,30,18.6,4.5
6-Jan-15,7.29,7,193,196,868,31,19.2,5.5
7-Jan-15,7.19,7.1,156,156,824,33,21.6,5.1
8-Jan-15,7.89,7.1,138,182,864,36,22.5,5.6
9-Jan-15,7.29,7.2,157,134,798,34,21.5,5
10-Jan-15,7.79,6.8,128,148,818,36,22.8,5.3
11-Jan-15,6.99,6.9,153,164,804,38,24.2,5.3
12-Jan-15,6.09,6.9,161,164,880,37,23.6,5.4
13-Jan-15,6.09,6.9,180,166,888,39,24.3,5.7
14-Jan-15,6.29,6.9,178,156,846,38,24.5,5.6
15-Jan-15,6.19,6.9,144,166,864,40,24.1,5.5
16-Jan-15,6.29,7,187,168,858,37,24.4,5.7
17-Jan-15,7.19,6.9,204,188,982,38,24.4,5.7
18-Jan-15,7.79,7.2,162,279,1156,37,20.8,7.4
19-Jan-15,7.59,7.2,135,154,1054,33,20.6,4.7
20-Jan-15,6.99,6.9,117,192,1002,34,21.1,5.2
21-Jan-15,6.99,7,111,178,956,35,21.1,5.3
22-Jan-15,6.69,7,132,154,904,34,21.4,5.1
23-Jan-15,6.29,6.9,178,166,890,35,21.9,5.5
24-Jan-15,7.39,6.9,104,142,866,33,21.9,5
25-Jan-15,7.49,7,121,124,944,33,21.8,4.8
26-Jan-15,6.59,6.9,154,202,1006,36,22.6,5.4
27-Jan-15,6.49,6.9,142,162,1016,36,22.7,4.9
28-Jan-15,6.59,6.9,140,156,948,33,22.1,4.3
29-Jan-15,6.29,6.9,111,108,902,33,22.1,4.3
30-Jan-15,6.59,7,158,132,848,36,23.3,4.9
31-Jan-15,7.09,7,120,194,916,40,23.9,5.5
1-Feb-15,7.49,6.9,127,180,936,40,25.7,5
2-Feb-15,6.59,7.2,137,142,886,36,23.8,5.2
3-Feb-15,5.99,7,141,184,932,39,23.7,4.5
4-Feb-15,6.39,7.1,137,142,900,36,23.7,5
5-Feb-15,6.59,6.8,156,140,850,35,21.7,4.5
6-Feb-15,6.09,6.9,170,192,882,35,21.9,5.7
7-Feb-15,8.09,6.9,119,196,948,36,22.8,5.5
8-Feb-15,8.59,6.9,117,134,1132,31,19.5,4.2
9-Feb-15,7.49,6.9,150,168,1044,33,18.2,4.4
10-Feb-15,6.99,6.9,125,166,984,31,18.1,4.5
11-Feb-15,6.99,6.8,155,140,992,31,18.8,4.4
12-Feb-15,6.89,7,124,150,944,33,20.7,4.8
13-Feb-15,6.89,6.8,240,198,938,33,19.2,6.4
14-Feb-15,8.19,6.9,171,140,862,32,20.5,5.3
15-Feb-15,6.79,7,176,126,836,33,22.2,5.1
16-Feb-15,6.69,7,131,138,858,36,22.4,4.8
17-Feb-15,6.49,7.2,130,166,866,36,21.5,5.1
18-Feb-15,7.19,7,158,136,834,35,22,4.9
19-Feb-15,6.59,7.1,156,158,820,39,23.1,5.5
20-Feb-15,6.39,7.1,176,176,830,37,22.8,5.3
21-Feb-15,7.09,7,192,172,830,37,23,5.5
22-Feb-15,6.89,7,430,471,1128,59,24.5,10.2
23-Feb-15,5.99,7.2,191,212,840,39,24.2,5.6
24-Feb-15,6.19,6.9,168,130,778,35,22.3,5.1
25-Feb-15,5.99,7.1,196,168,806,40,24.1,5.5
26-Feb-15,5.99,7.3,224,200,898,41,24.9,5.8
27-Feb-15,6.19,6.7,238,230,932,41,23.8,6.4
28-Feb-15,6.59,6.9,171,184,884,40,24.5,5.9
1-Mar-15,7.19,6.9,174,190,890,38,22.8,5.9
2-Mar-15,5.99,6.9,192,192,900,40,24.9,5.6
3-Mar-15,7.19,6.9,195,184,1080,39,22.9,5.6
4-Mar-15,5.99,6.9,172,152,1092,39,24.2,5.4
5-Mar-15,6.09,6.9,150,156,962,38,22.6,5.4
6-Mar-15,6.09,6.9,169,142,858,35,22.2,5.6
7-Mar-15,6.99,6.8,242,292,1014,40,21.2,6.6
8-Mar-15,7.29,6.7,470,725,1568,64,26.5,11
9-Mar-15,9.59,6.9,181,190,1112,34,18.8,5
10-Mar-15,10.89,7,      T/X,130,1084,22,11.8,3.2
11-Mar-15,12.69,7,85,90,1076,17,9.3,2.5
12-Mar-15,13.29,7,118,114,1082,19,9.3,2.9
13-Mar-15,14.29,7,95,90,1060,17,9.1,2.7
14-Mar-15,14.09,7.1,92,96,1052,18,10.3,2.7
15-Mar-15,12.79,7.1,110,94,1068,20,11.1,2.9
16-Mar-15,9.89,7.2,102,92,1064,24,13.3,3.4
17-Mar-15,8.49,7.2,125,114,1052,26,14.6,3.9
18-Mar-15,9.99,6.9,125,112,982,26,15.5,4
19-Mar-15,10.29,7,129,138,954,29,16.4,4.3
20-Mar-15,10.59,7.1,137,148,948,29,16.7,4.6
21-Mar-15,11.09,7.1,119,118,892,28,16.9,4.4
22-Mar-15,9.79,7.1,165,158,916,31,17.7,4.9
23-Mar-15,9.99,7,146,144,988,31,17.9,4.6
24-Mar-15,12.29,7.1,131,142,1056,29,17,4.4
25-Mar-15,13.89,6.8,103,116,1020,19,9.6,2.9
26-Mar-15,14.59,6.7,97,90,998,15,8.1,2.2
27-Mar-15,11.89,7.1,109,118,1042,20,10.7,2.8
28-Mar-15,10.59,7.1,112,108,1002,23,13.4,3.1
29-Mar-15,10.29,7.2,129,110,976,26,15.5,3.5
30-Mar-15,10.39,7.2,126,108,968,27,16.7,4.1
31-Mar-15,10.69,7.2,123,110,978,29,17.3,4.3
1-Apr-15,9.09,7.2,149,150,948,30,17.7,4.2
2-Apr-15,9.59,6.8,144,142,980,27,15.1,3.9
3-Apr-15,9.49,7.3,124,118,944,24,13.8,3.8
