DATE,FLOW,pH,BOD5,SS,TS,TKN,NH3-N,P-TOT
1-Jan-15,1.96,7.4,18,16,1026,4,0.7,3.3
2-Jan-15,1.77,7.4,      N/S,15,1042,3,0.6,3.3
3-Jan-15,2.21,7.4,      N/S,21,1127,4,0.4,3
4-Jan-15,3.2,7.2,18,20,1125,3,0.1,1.8
5-Jan-15,2.87,7.2,20,18,1178,3,0.4,2
6-Jan-15,2.1,7.3,12,15,1143,2,0.2,2.2
7-Jan-15,2.11,7.4,11,11,1070,3,0.2,2.6
8-Jan-15,1.98,7.4,12,13,1041,3,0.1,2.8
9-Jan-15,1.89,7.3,      N/S,10,1096,2,0.2,2.7
10-Jan-15,1.84,7.3,      N/S,9,1070,3,0.4,2.8
11-Jan-15,1.98,7.3,14,10,1117,4,1.7,3
12-Jan-15,1.79,7.3,16,11,1294,3,1.1,3
13-Jan-15,1.75,7.3,11,10,1318,3,0.3,3
14-Jan-15,1.96,7.3,11,10,1232,3,0.3,2.9
15-Jan-15,1.89,7.4,11,9,1198,3,0.3,2.9
16-Jan-15,1.84,7.4,      N/S,11,1250,3,0.4,2.9
17-Jan-15,2.03,7.5,      N/S,11,1258,3,1,3.1
18-Jan-15,2.3,7.4,13,12,1690,2,0.9,2.4
19-Jan-15,2.48,7.5,13,14,1662,3,1,2.3
20-Jan-15,2.27,7.4,14,10,1592,3,0.8,2.5
21-Jan-15,2.04,7.4,12,12,1564,2,0.5,2.6
22-Jan-15,2.16,7.3,12,14,1472,2,0.3,2.6
23-Jan-15,2.05,7.4,      N/S,15,1448,3,0.4,2.9
24-Jan-15,2.11,7.4,      N/S,23,1368,4,1.1,3.1
25-Jan-15,2.08,7.4,22,28,1378,5,1.8,3
26-Jan-15,2.15,7.4,26,30,1500,6,2.7,2.9
27-Jan-15,1.95,7.3,19,20,1502,3,0.5,2.5
28-Jan-15,1.96,7.4,16,14,1434,3,0.4,2.6
29-Jan-15,1.89,7.4,16,19,1450,4,0.4,2.9
30-Jan-15,1.72,7.4,      N/S,16,1312,4,1,3
31-Jan-15,1.8,7.6,      N/S,17,1344,4,1.5,3
1-Feb-15,1.88,7.3,15,17,1484,4,0.3,2.7
2-Feb-15,0,7.3,21,12,1836,3,0.9,2.8
3-Feb-15,1.95,7.3,13,12,1828,2,0.3,2.8
4-Feb-15,1.93,7.3,14,12,1717,3,0.3,3
5-Feb-15,1.87,7.3,16,15,1732,3,0.4,2.9
6-Feb-15,1.86,7.4,      N/S,19,1610,3,0.3,3.1
7-Feb-15,2.05,7.4,      N/S,22,1537,4,0.7,3.2
8-Feb-15,2.68,7.3,16,20,1889,2,0.3,2.5
9-Feb-15,2.89,7.3,17,22,2046,3,0.4,1.9
10-Feb-15,2.38,7.3,18,23,1853,3,0.2,2
11-Feb-15,1.96,7.3,17,23,1690,2,0.2,2
12-Feb-15,2.07,7.5,15,16,1612,3,0.2,2
13-Feb-15,1.94,7.4,      N/S,10,1498,2,0.2,2
14-Feb-15,1.91,7.5,      N/S,9,1414,2,0.2,2.1
15-Feb-15,1.89,7.5,9,10,1294,2,0.2,1.9
16-Feb-15,2.11,7.4,10,9,1226,3,0.7,2.4
17-Feb-15,1.82,7.5,10,12,1187,3,0.3,2.4
18-Feb-15,1.77,7.4,12,11,1190,3,0.4,2.2
19-Feb-15,1.77,7.4,11,14,1200,3,0.7,2.1
20-Feb-15,1.71,7.4,      N/S,11,1193,3,1,2.7
21-Feb-15,1.82,7.4,      N/S,13,1202,5,2.4,2.9
22-Feb-15,1.82,7.4,11,10,1144,6,3.8,3.1
23-Feb-15,1.71,7.4,11,8,1128,6,2.6,2.9
24-Feb-15,1.71,7.5,9,7,1200,3,1.2,2.9
25-Feb-15,1.68,7.5,      T/X,7,1102,3,1,3
26-Feb-15,1.67,7.4,9,6,1190,3,0.8,3
27-Feb-15,1.69,7.4,      N/S,7,1313,2,0.7,2.9
28-Feb-15,1.79,7.5,      N/S,7,1362,3,1.8,3
1-Mar-15,1.81,7.6,      T/X,8,1396,5,2.5,3.5
2-Mar-15,1.74,7.6,10,6,1432,4,2.1,3.7
3-Mar-15,1.79,7.4,13,13,1524,4,1.8,3.9
4-Mar-15,1.79,7.3,13,16,1750,4,1,4.5
5-Mar-15,1.55,7.4,25,24,1663,6,2.7,4.7
6-Mar-15,1.71,7.4,      N/S,23,1450,6,2.1,4.5
7-Mar-15,2.05,7.4,      N/S,20,1511,6,1.9,3.8
8-Mar-15,2.18,7.3,13,17,1817,4,1.7,2.8
9-Mar-15,2.28,7.3,11,13,1942,3,0.6,2.5
10-Mar-15,3,7.4,9,5,1968,2,0.2,1.6
11-Mar-15,2.98,7.3,8,10,1754,4,0.2,1.6
12-Mar-15,3.34,7.3,8,11,1624,3,0.2,0.9
13-Mar-15,3.2,7.3,      N/S,10,1560,4,0.2,1.3
14-Mar-15,3.05,7.4,      N/S,11,1524,3,0.4,1.4
15-Mar-15,3.01,7.3,      T/X,8,1472,6,1.5,2.3
16-Mar-15,2.63,7.4,10,6,1389,4,1.5,1.9
17-Mar-15,1.95,7.3,8,6,1341,3,0.2,2.1
18-Mar-15,2.24,7.5,10,12,1260,3,0.3,2.4
19-Mar-15,2.05,7.3,11,8,1203,3,0.2,2.6
20-Mar-15,2.26,7.3,      N/S,13,1142,4,0.4,3.1
21-Mar-15,2.02,7.3,      N/S,13,1151,3,0.6,2.6
22-Mar-15,2.12,7.2,18,13,1202,4,1.8,2.7
23-Mar-15,1.84,7.4,15,12,1362,5,0.8,2.8
24-Mar-15,2.55,7.3,14,12,1650,4,0.7,3.1
25-Mar-15,3.02,7.2,11,10,1584,3,0.3,1.9
26-Mar-15,2.45,7.3,10,10,1552,4,0.2,4.3
27-Mar-15,2.49,7.3,      N/S,7,1472,3,0.4,2.5
28-Mar-15,2.26,7.3,      N/S,6,1380,10,1,12.3
29-Mar-15,1.95,7.3,10,6,1328,2,0.6,1.7
30-Mar-15,2.28,7.2,11,6,1350,3,0.9,1.9
31-Mar-15,1.94,7.2,9,8,1344,2,0.4,2.1
1-Apr-15,1.91,7.3,9,6,1212,2,0.2,2.5
2-Apr-15,2.79,7.4,8,8,1164,2,0.1,2
3-Apr-15,3.13,7.3,      N/S,6,1261,2,0.1,1.3
4-Apr-15,3.23,7.3,      N/S,9,1224,3,0.9,1.5
5-Apr-15,2.46,7.3,7,6,1182,3,0.7,1.7
6-Apr-15,2.06,7.4,      T/X,5,1225,2,0.2,1.9
7-Apr-15,2.31,7.4,4,       <4,1254,4,0.1,1.8
8-Apr-15,2.08,7.4,5,6,1285,3,0.1,1.8
9-Apr-15,3.59,7.4,      T/X,4,990,2,     <0.1,1.2
10-Apr-15,4.35,7.3,      N/S,8,880,1,     <0.1,0.8
11-Apr-15,4.2,7.3,      N/S,8,1010,3,     <0.1,0.8
12-Apr-15,3.32,7.3,6,8,1082,3,0.2,1.1
13-Apr-15,3.19,7.3,5,5,1055,2,0.1,1.4
14-Apr-15,3.24,7.4,      T/X,6,1212,1,0.1,1.5
15-Apr-15,2.94,7.3,6,4,1243,2,0.1,1.7
16-Apr-15,2.51,7.4,6,6,1157,1,0.1,1.9
17-Apr-15,2.44,7.4,      N/S,6,1175,2,0.3,2
18-Apr-15,2.38,7.4,      N/S,       <4,1169,2,0.1,2.1
19-Apr-15,2.3,7.4,5,7,1143,2,0.1,2
20-Apr-15,3.2,7.3,6,7,1030,2,0.1,1.7
21-Apr-15,3.15,7.4,5,7,1237,2,     <0.1,1.5
22-Apr-15,3,7.4,6,4,1339,2,0.1,1.8
23-Apr-15,2.45,7.4,5,       <4,1360,2,0.1,2.1
24-Apr-15,2.29,7.4,      N/S,6,1456,2,0.1,2.3
25-Apr-15,3.28,7.3,      N/S,6,1200,2,     <0.1,1.7
26-Apr-15,4.09,7.4,      T/X,6,1054,2,     <0.1,1.3
27-Apr-15,3.89,7.3,7,6,1153,2,0.1,1.3
28-Apr-15,3.31,7.3,4,6,1167,2,0.1,1.6
29-Apr-15,2.51,7.5,7,6,1222,2,0.2,2
30-Apr-15,2.33,7.4,7,       <4,1493,2,0.3,2.1
1-May-15,2.31,7.4,      N/S,8,1704,2,0.1,2.3
2-May-15,2.29,7.4,      N/S,5,1634,2,0.1,2.3
3-May-15,2.26,7.4,7,7,1610,2,     <0.1,2.5
4-May-15,2.35,7.4,5,6,1604,2,0.1,2.7
5-May-15,3.18,7.4,6,7,1237,2,0.1,2.1
6-May-15,3.5,7.3,5,6,1229,2,0.1,1.6
7-May-15,3.25,7.4,      T/X,6,1318,2,0.1,1.7
8-May-15,2.5,7.4,      N/S,6,1510,2,     <0.1,2
9-May-15,4.09,7.3,      N/S,7,1080,2,     <0.1,1.3
10-May-15,4.27,7.4,6,6,810,1,     <0.1,1.1
11-May-15,4.24,7.4,5,8,858,1,     <0.1,1.3
12-May-15,3.79,7.2,7,6,1192,1,0.1,1.4
13-May-15,3.08,7.4,      T/X,7,1361,1,0.1,1.6
14-May-15,2.42,7.4,7,6,1483,1,0.1,2
15-May-15,2.76,7.4,      N/S,6,1452,1,0.1,2.2
16-May-15,2.6,7.4,      N/S,4,1264,1,0.1,2
17-May-15,3.08,7.4,6,4,1166,1,     <0.1,1.8
18-May-15,2.69,7.3,7,6,1281,1,0.1,2.1
19-May-15,2.2,7.4,6,5,1401,2,0.1,2.3
20-May-15,2.17,7.4,8,7,1349,2,0.1,2.7
21-May-15,2.15,7.4,8,7,1424,2,0.1,2.7
22-May-15,2.09,7.3,      N/S,11,1370,2,0.2,2.7
23-May-15,2.03,7.2,      N/S,10,1370,3,0.3,2.8
24-May-15,2.04,7.3,9,10,1326,2,0.1,2.7
