DATE,FLOW,pH,BOD5,SS,TS,TKN,NH3-N,P-TOT
1-Jan-15,179,7.4,172,330,766,37,20.7,6.8
2-Jan-15,169,7.4,151,142,642,31,21.1,4.6
3-Jan-15,327,6.3,121,279,948,32,16.2,5.6
4-Jan-15,274,7.4,59,70,1124,14,9.8,2.1
5-Jan-15,208,7.6,90,86,990,21,14.1,2.9
6-Jan-15,194,7.5,89,120,936,25,15.9,3.5
7-Jan-15,195,7.5,91,130,964,28,17.9,4
8-Jan-15,201,7.5,94,140,736,27,17.9,4.3
9-Jan-15,197,7.4,117,146,1008,29,16.8,3.9
10-Jan-15,190,7.4,97,136,906,29,17.6,3.9
11-Jan-15,195,7.4,88,98,756,23,15.4,3.2
12-Jan-15,174,7.3,94,124,2082,23,15.3,3.3
13-Jan-15,183,7.4,110,142,1284,28,17,4
14-Jan-15,190,7.4,112,120,946,29,18.1,4
15-Jan-15,189,7.4,92,138,816,30,19.1,4
16-Jan-15,192,7.3,105,154,998,28,17,4.2
17-Jan-15,247,7.3,120,160,1230,27,16.4,3.9
18-Jan-15,237,7.3,78,92,1442,19,12.8,2.4
19-Jan-15,209,7.4,79,178,1038,21,13.3,2.6
20-Jan-15,207,7.4,85,84,842,23,14,2.9
21-Jan-15,201,7.4,79,136,874,25,15.2,3.4
22-Jan-15,193,7.4,81,138,844,25,16,3.5
23-Jan-15,202,7.4,116,170,820,28,16.3,4.3
24-Jan-15,201,7.4,92,162,816,29,17.9,4.2
25-Jan-15,220,7.4,90,152,1122,25,15.3,3.4
26-Jan-15,205,7.4,89,94,1032,23,15.3,3
27-Jan-15,204,7.4,118,168,1124,31,18.8,4.1
28-Jan-15,198,7.3,99,158,964,28,17.1,3.4
29-Jan-15,204,7.4,141,150,960,30,17.5,3.6
30-Jan-15,191,7.5,94,132,814,28,17.6,3.3
31-Jan-15,191,7.6,89,140,782,31,19.2,3.7
1-Feb-15,212,7.4,88,148,2342,27,16.5,3.2
2-Feb-15,201,7.4,82,108,2332,25,16.4,2.7
3-Feb-15,196,7.3,96,130,1908,27,13.2,2.6
4-Feb-15,208,7.4,137,146,2328,28,16.7,3.8
5-Feb-15,196,7.3,93,144,1534,29,17.4,3.4
6-Feb-15,195,7.4,111,158,1262,29,16.8,4.1
7-Feb-15,264,7.3,96,182,1396,28,16.4,3.9
8-Feb-15,260,7.3,68,90,2054,19,11.8,2
9-Feb-15,228,7.4,90,98,1542,20,12.5,2.1
10-Feb-15,208,7.5,79,122,1136,24,14.2,2.8
11-Feb-15,215,7.4,90,140,1104,28,15.4,3.6
12-Feb-15,210,7.6,93,116,986,25,15.2,3.3
13-Feb-15,203,7.4,121,116,902,21,13.7,3.4
14-Feb-15,198,7.4,110,106,866,24,16.3,3.8
15-Feb-15,196,7.3,120,100,882,24,15.9,3.1
16-Feb-15,197,7.5,101,104,910,26,16.1,2.9
17-Feb-15,194,7.4,98,114,892,26,15.7,3.2
18-Feb-15,192,7.4,113,134,818,30,17.9,3.8
19-Feb-15,201,7.5,106,148,766,31,18.9,4.2
20-Feb-15,187,7.5,127,144,736,31,18.6,4.1
21-Feb-15,198,7.4,115,138,738,29,17.4,3.9
22-Feb-15,192,7.4,120,118,716,27,16.6,3.3
23-Feb-15,191,7.4,102,110,698,26,16.8,3
24-Feb-15,192,6.5,107,136,726,28,17.9,3.7
25-Feb-15,192,7.4,125,158,752,33,19.5,4.2
26-Feb-15,192,7.4,141,178,2296,34,21,4.6
27-Feb-15,192,7.3,125,146,1330,31,18.4,4.2
28-Feb-15,195,7.3,95,128,928,29,17.4,3.8
1-Mar-15,192,7.3,104,118,846,27,16.6,3.4
2-Mar-15,194,7.4,100,120,890,27,16.6,3.2
3-Mar-15,214,7.4,117,200,2152,30,17,4.2
4-Mar-15,192,7.3,118,152,1238,30,17.8,3.9
5-Mar-15,192,7.5,128,176,920,37,22.1,5
6-Mar-15,187,7.4,129,164,848,32,19.7,4.4
7-Mar-15,247,7.3,137,228,1102,29,16.9,4.2
8-Mar-15,230,7.3,120,122,1202,23,14.8,2.9
9-Mar-15,286,7.4,116,170,1316,22,12,3
10-Mar-15,337,7.4,      T/X,102,1324,16,9.1,1.9
11-Mar-15,352,7.5,80,92,1310,17,9.8,2.2
12-Mar-15,314,7.6,78,106,1224,19,11.1,2.6
13-Mar-15,306,7.6,80,106,1190,19,10.8,2.7
14-Mar-15,303,7.4,72,98,1136,18,10.5,2.5
15-Mar-15,271,7.5,78,82,1070,18,11,2.3
16-Mar-15,259,7.5,85,88,1066,19,11.4,2.6
17-Mar-15,242,7.5,125,158,1096,28,13.1,4.4
18-Mar-15,231,7.5,97,114,1006,25,14.4,3.5
19-Mar-15,214,7.5,102,130,976,26,15.3,3.6
20-Mar-15,215,7.4,110,142,894,27,15.2,3.8
21-Mar-15,210,7.4,107,140,932,26,15,3.6
22-Mar-15,207,7.4,108,122,884,24,14.7,3.2
23-Mar-15,231,7.3,140,220,2424,26,13.8,3.8
24-Mar-15,278,7.3,121,178,1526,23,12.4,3.4
25-Mar-15,396,7.4,106,186,1218,16,7.8,2.4
26-Mar-15,290,7.6,79,98,1142,17,10.3,2.3
27-Mar-15,271,7.6,92,116,1142,21,11.7,2.8
28-Mar-15,240,7.4,78,96,1044,20,11.9,2.6
29-Mar-15,234,7.4,117,136,1038,22,12.7,3
30-Mar-15,223,7.5,100,94,972,20,12.1,2.8
31-Mar-15,213,7.5,98,124,986,25,14.3,3.5
1-Apr-15,203,7.4,111,170,940,27,15.3,3.7
2-Apr-15,279,7.5,169,284,1144,26,13.7,4.3
3-Apr-15,215,7.5,145,242,1034,27,13.1,4.3
4-Apr-15,192,7.4,107,128,884,22,14.3,2.8
5-Apr-15,207,7.3,106,96,844,35,13.3,5
6-Apr-15,202,7.4,103,104,874,23,13.5,3.1
7-Apr-15,205,7.5,107,134,902,27,15.1,4.1
8-Apr-15,199,7.4,122,168,910,26,15.3,3.6
9-Apr-15,409,7.3,153,363,1086,17,5.2,3.1
10-Apr-15,368,7.6,84,94,952,12,6,1.6
11-Apr-15,289,7.6,86,90,930,17,9.1,2.2
12-Apr-15,264,7.4,89,76,906,17,9.7,2.2
13-Apr-15,287,7.5,130,176,970,20,9.2,3.3
14-Apr-15,230,7.5,83,110,940,21,12.3,2.8
15-Apr-15,225,7.6,62,138,950,24,14,3.4
16-Apr-15,272,7.5,105,156,878,22,12.1,3.3
17-Apr-15,226,7.5,91,116,874,22,13.1,2.9
18-Apr-15,213,7.4,78,100,850,23,13.9,3.1
19-Apr-15,273,7.4,97,130,722,20,11.7,2.8
20-Apr-15,291,7.2,58,72,764,14,7.7,1.7
21-Apr-15,233,7.6,72,116,918,22,12.4,2.8
22-Apr-15,221,7.5,91,134,902,24,14.5,3.5
23-Apr-15,213,7.5,93,130,882,26,14.9,3.6
24-Apr-15,221,7.5,101,140,864,26,15.3,3.8
25-Apr-15,269,7.3,81,134,778,19,10.6,2.8
