DATE,FLOW,pH,BOD5,SS,TS,TKN,NH3-N,P-TOT
1-Jan-15,179,7.6,94,100,772,24,15.8,5.5
2-Jan-15,190,7.6,84,82,760,24,16,4.6
3-Jan-15,286,7.5,109,148,976,21,12.5,5.3
4-Jan-15,298,7.4,86,148,1152,15,8.4,3.8
5-Jan-15,228,7.5,74,66,1018,18,11.4,2.5
6-Jan-15,207,7.4,84,72,918,19,12.2,4
7-Jan-15,173,7.3,130,134,1018,23,12.9,6.1
8-Jan-15,170,7.4,109,112,822,23,14.7,4
9-Jan-15,154,7.6,118,96,970,21,13.6,5.1
10-Jan-15,175,7.5,113,78,900,22,14.2,4.3
11-Jan-15,177,7.5,88,76,876,22,14.3,3.8
12-Jan-15,174,7.3,207,124,1346,33,16.7,8.2
13-Jan-15,168,7.4,227,204,1334,34,18.2,12.9
14-Jan-15,171,7.4,103,96,958,27,16.9,5.7
15-Jan-15,160,7.4,159,196,926,24,14.9,5.5
16-Jan-15,174,7.3,426,304,1121,46,20.2,13.3
17-Jan-15,190,7.5,140,136,1088,25,14.3,6
18-Jan-15,220,7.5,128,114,1123,23,12.5,4.4
19-Jan-15,213,7.5,73,64,1007,20,13.8,3.5
20-Jan-15,208,7.4,139,100,1019,23,14.7,7.6
21-Jan-15,169,7.2,183,178,1074,26,14.8,10.6
22-Jan-15,207,7.3,163,148,998,26,15.2,10.1
23-Jan-15,182,7.2,460,318,1247,31,14.8,12.3
24-Jan-15,183,7.3,147,98,924,22,13.9,9.9
25-Jan-15,193,7.4,80,85,888,20,14.5,3.5
26-Jan-15,191,7.5,73,86,976,19,13.5,3
27-Jan-15,189,7.4,80,86,1114,22,14.5,4.4
28-Jan-15,183,7.4,180,184,1093,34,18.6,7.5
29-Jan-15,184,7.3,210,28,1125,32,16.8,11.9
30-Jan-15,199,7.4,164,200,970,23,15.4,6.4
31-Jan-15,199,7.6,97,82,870,24,16,4.5
1-Feb-15,202,7.4,112,114,1422,25,15.1,3.8
2-Feb-15,188,7.5,81,128,1653,23,14.2,3.5
3-Feb-15,187,7.4,110,92,1503,25,14.8,7
4-Feb-15,190,7.2,148,112,1604,26,15.7,6.2
5-Feb-15,185,7.2,109,88,1480,23,15.4,5.2
6-Feb-15,184,7.4,185,202,1237,31,15.4,6.2
7-Feb-15,220,7.3,197,210,1384,32,15.1,7.6
8-Feb-15,282,7.2,122,141,1652,21,12.1,3.7
9-Feb-15,266,7.4,130,300,1668,34,11.9,3.8
10-Feb-15,264,7.4,86,82,1229,20,12.6,3.7
11-Feb-15,224,7.3,111,100,1186,21,12.1,4.7
12-Feb-15,198,7.4,87,85,1084,21,12.6,4.1
13-Feb-15,196,7.4,100,116,1040,21,14.9,4.5
14-Feb-15,196,7.5,85,88,966,22,15.5,4.4
15-Feb-15,195,7.6,79,104,918,22,15.8,3.8
16-Feb-15,181,7.4,108,106,896,23,14.7,4.1
17-Feb-15,183,7.3,96,108,922,24,14.6,5.4
18-Feb-15,205,7.3,142,122,954,26,16.5,7.3
19-Feb-15,185,7.3,113,116,864,25,15.4,5.4
20-Feb-15,171,7.5,120,66,858,24,14.5,6.9
21-Feb-15,192,7.5,167,146,856,27,15.2,6.2
22-Feb-15,169,7.4,149,143,832,26,13.9,4.9
23-Feb-15,171,7.3,106,116,814,25,15.6,4.3
24-Feb-15,171,7.4,190,176,926,31,13.6,7.8
25-Feb-15,160,7.4,      T/X,154,812,26,15.3,5.6
26-Feb-15,167,7.3,147,126,1397,28,15,9.6
27-Feb-15,145,7.4,180,104,1456,27,17.5,11.2
28-Feb-15,164,7.4,130,122,1078,25,16.1,7.8
1-Mar-15,181,7.4,      T/X,110,994,24,16.6,4.5
2-Mar-15,148,7.4,123,120,968,24,14.2,4.4
3-Mar-15,182,7.3,128,152,1305,28,15.9,8.7
4-Mar-15,180,7.4,153,190,1535,31,17.7,7.2
5-Mar-15,148,7.3,239,310,1234,39,17.8,10.1
6-Mar-15,153,7.6,187,176,1018,30,17.3,10.1
7-Mar-15,183,7.5,193,208,1188,26,14.7,8.8
8-Mar-15,219,7.4,127,232,1213,25,14.3,4.6
9-Mar-15,258,7.4,134,182,1156,25,15.2,4.5
10-Mar-15,323,7.4,119,200,1209,27,14.4,5.5
11-Mar-15,323,7.4,89,120,1202,20,11.5,3.8
12-Mar-15,315,7.5,72,92,1120,19,11.3,3.5
13-Mar-15,286,7.7,82,108,1104,18,10.8,3.4
14-Mar-15,265,7.6,143,54,1026,19,10.3,6.9
15-Mar-15,255,7.5,      T/X,56,1024,17,10.2,3.2
16-Mar-15,235,7.6,80,79,1019,20,12.8,3.8
17-Mar-15,220,7.4,80,82,1046,22,14.4,4
18-Mar-15,206,7.4,114,78,974,21,12.7,4.4
19-Mar-15,197,7.3,132,98,1020,22,12.7,5.6
20-Mar-15,201,7.5,109,94,956,20,12.7,4.2
21-Mar-15,187,7.6,112,103,964,21,12.9,6.2
22-Mar-15,193,7.5,88,93,882,20,12.9,3.4
23-Mar-15,198,7.4,147,122,1198,23,12.6,7.7
24-Mar-15,226,7.3,118,102,1504,20,12.9,5.9
25-Mar-15,297,7.3,120,128,1177,21,10.5,4.6
26-Mar-15,247,7.4,84,188,1208,22,11.8,4.3
27-Mar-15,227,7.5,108,95,1088,20,12,3.7
28-Mar-15,203,7.5,81,70,1022,19,11.9,4.2
29-Mar-15,216,7.4,79,74,960,18,12.8,2.9
30-Mar-15,183,7.5,82,82,964,17,11.2,3.1
31-Mar-15,188,7.4,102,101,1056,24,15,4.7
1-Apr-15,207,7.4,91,88,988,23,15,6
2-Apr-15,259,7.5,167,180,1088,25,13.9,6
3-Apr-15,222,7.5,114,132,1078,21,12.6,6.7
4-Apr-15,206,7.6,95,78,960,19,13,3.8
5-Apr-15,202,7.8,68,50,874,18,13.1,2.6
6-Apr-15,188,7.5,      T/X,64,888,19,13.4,3.1
7-Apr-15,227,7.4,111,122,1002,21,12.5,3.7
8-Apr-15,178,7.4,110,130,950,21,12.8,3.8
9-Apr-15,291,7.3,      T/X,104,922,18,10.5,5.4
10-Apr-15,381,7.5,      T/X,110,798,13,7.3,2.2
11-Apr-15,339,7.6,98,116,914,14,8.3,3.5
12-Apr-15,315,7.3,70,96,876,14,7.8,2.3
13-Apr-15,333,7.5,74,154,834,15,9,4.1
14-Apr-15,254,7.5,      T/X,156,990,21,12.2,7.1
15-Apr-15,236,7.5,84,108,1038,21,12.9,5
16-Apr-15,223,7.4,120,162,1098,23,12.9,7.3
17-Apr-15,216,7.5,157,148,1029,23,12.4,8.7
18-Apr-15,214,7.6,134,104,952,19,11.1,4.6
19-Apr-15,253,7.6,64,76,888,17,10.6,2.9
20-Apr-15,318,7.5,83,108,844,16,9.4,2.6
21-Apr-15,228,7.5,93,94,958,18,11.1,5.4
22-Apr-15,207,7.4,92,94,952,20,12.7,5.5
23-Apr-15,189,7.5,96,100,906,21,12.4,4.6
24-Apr-15,189,7.4,163,52,924,24,11.7,9.4
25-Apr-15,333,7.5,105,86,856,17,9.3,9.8
26-Apr-15,306,7.4,      T/X,82,906,14,5.6,16.4
27-Apr-15,295,7.6,69,72,856,15,9.9,2
28-Apr-15,277,7.6,71,78,892,19,12.2,4.3
29-Apr-15,234,7.3,142,172,1066,21,10.7,9
30-Apr-15,206,7.3,170,204,1175,25,11.7,9.6
1-May-15,195,7.6,85,44,874,22,15,3.9
2-May-15,198,7.5,98,80,926,20,11.9,6.8
3-May-15,215,7.5,76,100,856,19,11.2,3.6
4-May-15,207,7.5,140,228,998,26,12.5,5
5-May-15,341,7.4,138,308,918,23,9.6,5.8
6-May-15,337,7.4,115,238,838,17,8.7,3.8
7-May-15,266,7.5,      T/X,106,858,13,6.6,3.4
8-May-15,264,7.4,120,105,936,18,10.3,6.6
9-May-15,377,7.7,      T/X,78,826,14,8.4,2.6
10-May-15,358,7.6,62,100,774,12,7.2,1.9
11-May-15,356,7.5,72,90,792,13,7.1,4.9
12-May-15,321,7.5,97,118,952,14,6.6,6.8
13-May-15,249,7.6,      T/X,86,944,16,10.5,4
14-May-15,282,7.3,203,350,1066,17,13,3.6
15-May-15,255,7.7,99,130,902,17,10.5,4.4
16-May-15,242,7.4,224,224,1088,18,10.4,4.7
17-May-15,203,7.5,101,106,886,17,9.9,3.3
18-May-15,194,7.6,87,114,918,19,12.3,3.7
19-May-15,202,7.5,130,320,1166,20,8.5,7.8
20-May-15,194,7.3,119,102,920,21,13.5,6.8
21-May-15,188,7.5,107,88,894,22,14.5,4.3
22-May-15,188,7.6,113,104,904,24,16.8,4.4
23-May-15,192,7.6,113,92,912,23,14.9,5.1
24-May-15,182,7.6,78,98,856,21,14,3.8
25-May-15,189,7.5,105,160,914,23,13.8,4.1
26-May-15,191,7.4,127,186,854,20,10.2,3.8
27-May-15,206,7.4,103,128,884,21,11.8,5.2
28-May-15,185,7.5,105,142,872,23,13.5,5.4
29-May-15,181,7.4,167,230,974,25,13.1,7
30-May-15,237,7.4,139,236,846,20,10.7,5.6
